feature,CFU_p,radiodensity (HU)_p,stdev radiodensity (HU)_p,soft volume (mL)_p,hard volume (mL)_p,PET activity (SUV)_p,∆ radiodensity (HU)_p,∆ stdev radiodensity (HU)_p,∆ soft volume (mL)_p,∆ hard volume (mL)_p,∆ PET activity (SUV)_p,CFU_p2,radiodensity (HU)_p2,stdev radiodensity (HU)_p2,soft volume (mL)_p2,hard volume (mL)_p2,PET activity (SUV)_p2,∆ radiodensity (HU)_p2,∆ stdev radiodensity (HU)_p2,∆ soft volume (mL)_p2,∆ hard volume (mL)_p2,∆ PET activity (SUV)_p2
PK_cell AUC25 butyrate (terminal),0.68,0.84,0.39,0.55,0.71,0.52,0.34,1.00,0.52,0.55,0.16,0.61,0.04,0.31,0.78,0.58,0.61,0.07,0.88,0.61,0.29,0.44
PK_cell AUC25 cholesterol (constant),0.79,0.43,0.03,0.88,0.27,0.20,0.58,0.06,0.54,0.36,0.08,0.93,0.70,0.07,0.03,0.10,0.75,0.50,0.06,0.30,0.39,0.46
PK_cell AUC25 cholesterol (terminal),0.81,0.09,1.00,0.21,0.44,0.10,0.03,0.58,0.44,0.52,0.29,0.58,0.29,0.55,0.95,0.71,0.71,0.21,0.58,0.10,0.01,0.46
PK_cell AUC25 dormancy (constant),0.39,1.00,1.00,0.15,0.91,0.88,0.44,0.81,0.74,0.44,0.41,0.34,0.84,0.49,0.36,0.88,0.27,0.95,0.81,0.91,0.68,0.41
PK_cell AUC25 dormancy (terminal),0.36,0.71,0.58,0.25,0.88,0.68,0.31,0.34,0.55,0.10,0.84,0.68,0.98,0.39,0.04,0.49,0.81,0.84,0.36,0.71,0.36,0.39
PK_cell GRinf butyrate (constant),0.78,1.00,0.68,0.95,0.61,0.29,0.36,0.81,0.09,0.04,0.13,0.74,0.01,0.84,0.74,0.21,0.25,0.03,0.78,0.09,0.11,0.61
PK_cell GRinf butyrate (terminal),0.61,0.78,0.61,0.91,0.68,0.41,0.52,0.68,0.10,0.05,0.18,0.55,0.01,0.88,0.78,0.19,0.21,0.03,0.74,0.16,0.21,0.68
PK_cell GRinf cholesterol (constant),0.74,0.14,0.04,0.89,0.18,0.89,0.06,0.09,0.98,0.03,0.38,0.98,0.31,0.09,0.00,0.45,0.98,0.25,0.10,0.56,0.53,0.41
PK_cell GRinf cholesterol (terminal),0.49,0.88,0.91,0.11,0.41,0.55,0.74,0.84,0.52,0.27,1.00,0.71,0.58,0.58,0.19,0.74,0.41,0.52,0.52,0.34,0.49,0.13
PK_cell GRinf dormancy (constant),0.74,0.58,0.41,0.46,0.19,0.29,0.27,0.81,0.05,0.08,0.81,0.95,0.01,0.41,0.44,0.44,0.16,0.00,0.78,0.39,0.31,0.55
PK_cell GRinf dormancy (terminal),0.06,0.36,0.71,0.52,0.71,0.58,0.74,0.52,0.55,0.13,0.88,0.02,0.07,0.68,0.44,0.49,0.71,0.46,0.18,0.41,0.58,0.39
BLANK7,,,,,,,,,,,,,,,,,,,,,,
  5N casPK AUC50 ,0.51,0.72,0.45,0.52,0.58,0.78,0.32,0.72,0.33,0.03,0.27,0.33,0.07,0.48,0.17,0.32,0.55,0.07,0.70,0.23,0.16,0.51
 7H casPK AUC50 ,0.54,0.86,0.15,0.98,0.93,0.46,0.99,0.57,0.59,0.93,0.31,0.58,0.59,0.04,0.88,0.32,0.15,0.76,0.92,0.29,0.96,0.93
 7N casPK AUC50 ,0.86,0.22,0.59,0.85,0.54,0.11,0.03,0.45,0.25,0.11,0.38,0.92,0.13,0.99,0.38,0.30,0.18,0.03,0.44,0.29,0.01,0.34
  5N casPK FBC50 ,0.20,0.51,0.57,0.71,0.14,0.43,0.48,0.71,0.20,0.05,0.59,0.20,0.08,0.78,0.23,0.54,0.92,0.12,0.67,0.46,0.22,0.75
 7H casPK FBC50 ,0.05,0.15,0.07,0.92,0.98,0.32,0.20,0.66,0.98,0.92,0.53,0.07,0.12,0.15,0.43,0.75,0.58,0.52,0.89,0.32,0.53,0.82
 7N casPK FBC50 ,0.47,0.25,0.23,0.78,0.38,0.23,0.05,0.79,0.11,0.01,0.89,0.33,0.11,0.22,0.09,0.12,0.28,0.22,0.25,0.00,0.37,0.43
  5N casPK FBC90 ,0.23,0.47,0.74,0.63,0.11,0.36,0.52,0.59,0.18,0.05,0.93,0.22,0.15,0.86,0.26,0.74,0.85,0.25,0.67,0.52,0.30,0.68
 7H casPK FBC90 ,0.16,0.27,0.49,0.30,0.81,0.40,0.62,0.85,0.99,0.58,0.50,0.15,0.18,0.44,0.91,0.60,0.97,0.26,0.67,0.27,0.72,0.91
 7N casPK FBC90 ,0.43,0.53,0.64,0.20,0.83,0.46,0.99,0.89,0.86,0.09,0.70,0.23,0.36,0.93,0.27,0.79,0.76,0.79,0.25,0.76,0.60,0.31
  5N cellPK AUC50 ,0.06,0.26,0.79,0.09,0.64,0.49,0.72,0.31,0.95,0.22,0.49,0.07,0.32,0.66,0.59,0.23,0.79,0.74,0.63,0.98,0.85,0.44
 7H cellPK AUC50 ,0.14,0.41,0.79,0.93,0.48,0.98,0.16,0.85,0.46,0.49,0.68,0.09,0.64,0.43,0.79,0.74,0.30,0.92,1.00,0.33,0.54,0.22
 7N cellPK AUC50 ,0.78,0.57,0.54,0.06,0.40,0.88,0.55,0.37,0.75,0.54,0.15,0.95,0.85,0.85,0.75,0.19,0.40,0.44,0.14,0.70,0.26,0.74
  5N cellPK FBC50 ,0.28,0.95,0.95,0.49,0.32,0.98,0.82,0.91,0.51,0.41,0.66,0.36,0.05,0.81,0.75,0.72,0.88,0.07,0.55,0.91,0.52,0.54
 7H cellPK FBC50 ,0.27,0.85,0.81,0.18,0.23,0.66,0.36,0.86,0.78,0.82,0.85,0.25,0.06,0.68,0.93,0.88,0.81,0.20,0.11,0.54,0.60,0.40
